811	52	30	2000	1.9

P1	0.44	0.5	0.39	0.28	0.56	0.5	0.61	1	0.17	0.61	0.44	0.61	0.72	0.33	0.33	0.33	0.61	0.33	0	0.5	0.11	0.44	0.22	0.5	0.11	0.33	0.22	0.39	0.11	0.44	0.22	0.39	0.5	0.17	0.11	0.61	0.39	0.33	0.5	0.78	0.22	0.44	0.06	0.22	0.28	0.39	0.5	0	0.22	0.17	0.11	0.39

P2	0.7	0.6	0.3	0.2	0.7	0.1	0.6	0.3	0.3	0.3	0.2	0.2	0.6	0.2	0	0.6	0.2	0.7	0.7	0.9	0.4	0.7	0.2	0.4	0.5	0.3	0.5	0.8	0.5	0.5	0.3	0.1	0.3	0.2	0.3	1	0.5	0.2	0.7	0.3	0.2	0.5	0.2	0.4	0.5	0.1	0.1	0.4	0.5	0.1	0.6	0

P3	0.36	0.73	0.45	0.55	0.64	0.45	0.36	0.91	0.82	0.27	1	0.55	0.09	0.36	0.82	0.45	0.36	0.73	0.64	0.36	0.36	0.91	0.73	0.45	0.64	0.45	1	0.18	0	0.91	0.73	0.55	0.36	0.45	0.36	0.55	0.27	0.82	0.82	0.55	0	0.18	0.27	1	0.18	0.18	0.36	0.45	1	0.45	0.45	0.36

P4	0.59	0.35	0.65	0.18	0.41	0.24	0.41	0.65	0.65	0.53	0.35	0.12	0.18	0.12	0.76	0.29	0.53	0.41	0.76	0.12	0.24	0.29	0.53	0.29	0.41	0.24	0.47	0.47	0	0.24	0.29	0	0.18	0.59	0.18	1	0.35	0.24	0.35	0.35	0.59	0.24	0.41	0.47	0.06	0.12	0.24	0.35	0.71	0.35	0.29	0.35

P5	0.33	0.13	0.67	0.53	0.2	0.27	0.4	0.73	0.4	0.4	0.53	1	0.33	0.07	0.67	0.33	0.47	0.8	0.2	0.67	0.53	0.2	0.47	0.4	0.33	0.6	0.33	0.4	0.67	0	0.13	0	0.13	0.13	0.4	0.27	0.07	0.33	0.33	0.13	0.13	0.33	0.27	0.53	0.27	0.6	0.2	0.2	0.13	0.53	0.33	0.4

P6	0.27	0.27	0.18	0.64	0.55	0.27	0.73	0.55	0.55	0.27	0.09	0.09	0.45	0.36	0.27	0.45	0.27	0.45	0.91	0.73	0.36	0.82	0.64	0.45	0.36	0.18	0.09	0.27	0.18	0.36	0	0.27	0.18	1	0.18	0.09	0.36	0.36	0.27	0.18	0.45	0.36	0.36	0.18	0.36	0.27	0.55	0.45	0.27	0.27	0.91	0.55

P7	0.4	0.8	0.3	0.7	0.8	0.7	0.2	0.3	1	0.3	0.5	0.2	0.3	0.4	0.5	0.3	0.7	1	0	0.3	0.7	0.5	0.1	0.5	0.7	0.5	0.2	0.4	0.3	0.1	0.3	0.2	0.2	0.4	0.2	0.6	0.4	0.5	0.1	0.3	0.5	0.8	0.2	0.3	0.3	0.6	0.2	0.6	0.2	0.4	0.2	0.1

